termId,name,definition,definitionSource,purpose,calculationMethod,dataRequired,dataSource,typesOfDisaggregation,interpretation,qualityStandards,limitations
2152,Expenditure on education as % of total government expenditure (all sectors),"Total general (local, regional and central)  government expenditure on education (current, capital, and transfers), expressed as a percentage of total general government expenditure on all sectors (including health, education, social services, etc.). It includes expenditure funded by transfers from international sources to government.",UNESCO Institute for Statistics,"To assess a government's emphasis on education relative to its investments in other sectors. This indicator is useful to assess how much of a priority education is for a given government, over time or in comparison with other countries.","Divide total government expenditure for a given level of education (ex. primary, secondary, or all levels combined) by total general government expenditure (all sectors), and multiply by 100.",,"Data on education expenditure is received by country governments responding to UIS's annual survey on formal education. The data used to fill the questionnaire on education expenditure may come from annual financial reports by the Ministry of Finance and/or the Ministry of Education, and/or national accounts reports by the National Statistical Office. Data on total general government expenditure (all sectors) comes from the International Monetary Fund's World Economic Outlook database and is updated once a year.",By level of education.,"A higher percentage of government expenditure on education shows a high government priority for education relative to other public investments. When interpreting this indicator however, one should keep in mind that some governments have more (or less) means and therefore larger (or smaller) overall budgets, and that countries with younger populations may spend more on education in relation to other sector such as health or social security, and vice-versa.",,"In some instances data on total public expenditure on education refers only to the Ministry of Education, excluding other ministries which may also spend a part of their budget on educational activities. Also, although the IMF makes best efforts to publish data on total general government expenditure following common definitions based on the Government Finance Statistics Manual, in practice this concept (and what it includes) may differ from one country to the other."
3180,"Proportion of total government spending on essential services (education, health and social protection)(UIS calculation)","As agreed by the Inter-agency and Expert Group on SDG Indicators (IAEG-SDGs), data for the education component only of indicator 1.a.2 are provided by two custodian agencies (co-custodians IMF and UNESCO-UIS) to provide maximum country coverage. Therefore, the Global SDG Indicators Database includes two distinct data series for the education component, supplied by these different data providers (the co-custodians). Each provider employs unique data collection and calculation methods. Consequently, variations may arise when comparing the datasets: SG_XPD_EDUC (provided by IMF as part of a set that contains all  components of indicator 1.a.2 and the total) and SD_XPD_ESED (provided by UNESCO-UIS for the education component only). To gain insight into the methodologies used by each provider, please review the additional metadata file associated with indicator 1.a.2.  SDG Indicator 1.a.2: Total general (local, regional and central) government expenditure on education (current, capital, and transfers), expressed as a percentage of total general government expenditure on all sectors (including health, education, social services, etc.). It includes expenditure funded by transfers from international sources to the government.  Concepts: Government expenditure on education covers educational expenditure by all levels of government (local, regional, central) on the formal education system, from early childhood to tertiary education, in both public and private instructional and non-instructional institutions within the borders of a country.  Expenditure on education includes expenditure on core educational goods and services, such as teaching staff, school buildings, or school books and teaching materials, and peripheral educational goods and services such as ancillary services, general administration and other activities.",UNESCO Institute for Statistics,"The indicator is used to assess a government's emphasis on education relative to other sectors. The indicator shows how much of a priority education is for a given government, over time or in comparison with other countries.",Total government expenditure on education in all levels combined is expressed as a percentage of total general government expenditure (all sectors).,,"Data on government spending come from government budgetary documents, financial reports, and official statistics provided by government agencies responsible for finance and budgeting.  Data collection method: The UIS compiles government spending data through: • UIS Formal Education Survey:  o Numerator: data provided by countries responding to the annual UIS survey on formal education including the UNESCO-OECD-Eurostat (UOE) data collection.  o Denominator: data on total general government expenditure (all sectors) are extracted from the International Monetary Fund's World Economic Outlook database and are updated annually. • UIS Dynamic Template (numerator and denominator): data provided by countries or data obtained from the national official documents.","Possibly, by level of education.",,"The UIS has elaborated guidance for the countries on the methodology that should be used to calculate this indicator based on the Survey of Formal Education and its manual. The standardized Dynamic template containts instructions for its completion.

Quality management: The UIS maintains a global database used to produce this indicator and defines the protocols and standards for data reporting by countries. For transparency purposes, the inclusion of a data point in the database is completed by following a protocol and is reviewed by UIS technical focal points to ensure consistency and overall data quality, based on objective criteria to ensure that only the most recent and reliable information are included in the database.  Quality assurance: The UNESCO Institute for Statistics (UIS) prioritizes the accuracy and reliability of its government spending data on education. The UIS validates with countries the indicator values compiled through the UIS Formal Education Survey and Dynamic Template. These tools allow countries to contribute data directly, while the UIS cross-references it with total government expenditure figures obtained from the International Monetary Fund (IMF) World Economic Outlook database.  Quality assessment: The indicator should be produced based on consistent and actual data on total government expenditures on education and total government expenditures on all sectors combined. Criteria for quality assessment include: data sources must include proper documentation; data values must be representative at the national population level and, if not, should be footnoted; data are plausible and based on trends and consistency with previously published/reported values for the indicator.","A high proportion of government expenditure on education demonstrates a high government priority for education relative to other public investments. The Education 2030 Framework for Action has endorsed a benchmark for this indicator, which encourages countries to allocate at least 15% to 20% of their public expenditure to education.  While the indicator allows for cross-country comparisons, differences in government structures, budgeting practices, and definitions may limit the comparability of data between countries. Variations in how countries categorize and report spending on education can introduce biases into comparative analyses.  The indicator does not consider the demographic profile of a country's population, such as age distribution or socioeconomic status. Countries with younger populations may naturally allocate a higher proportion of spending to education, regardless of government priorities, while countries with aging populations may prioritize other essential services, such as healthcare or social security."
