iso3,country,region,year,married_before_18
EGY,Egypt,Sub-Saharan Africa,2003,18.5
EGY,Egypt,Sub-Saharan Africa,2005,16.6
EGY,Egypt,Sub-Saharan Africa,2008,16.6
EGY,Egypt,Sub-Saharan Africa,2014,17.4
EGY,Egypt,Sub-Saharan Africa,2021,15.8
SLV,El Salvador,Europe and Northern America,1985,37.7
SLV,El Salvador,Europe and Northern America,2021,19.7
GNQ,Equatorial Guinea,Sub-Saharan Africa,2011,29.5
ERI,Eritrea,Sub-Saharan Africa,1995,54.2
ERI,Eritrea,Sub-Saharan Africa,2002,47.0
ERI,Eritrea,Sub-Saharan Africa,2010,40.7
SWZ,Eswatini,Sub-Saharan Africa,2007,7.7
SWZ,Eswatini,Sub-Saharan Africa,2022,1.9
ETH,Ethiopia,Sub-Saharan Africa,2000,49.1
ETH,Ethiopia,Sub-Saharan Africa,2005,49.2
ETH,Ethiopia,Sub-Saharan Africa,2011,41.2
ETH,Ethiopia,Sub-Saharan Africa,2016,40.3
FJI,Fiji,Oceania,2021,4.0
FIN,Finland,Europe and Northern America,2017,0.1
GAB,Gabon,Sub-Saharan Africa,2000,33.6
GAB,Gabon,Sub-Saharan Africa,2012,21.9
GAB,Gabon,Sub-Saharan Africa,2021,13.3
GMB,Gambia,Sub-Saharan Africa,2013,30.4
GMB,Gambia,Sub-Saharan Africa,2020,23.1
GEO,Georgia,Central and Southern Asia,2018,13.9
GHA,Ghana,Sub-Saharan Africa,1988,40.9
GHA,Ghana,Sub-Saharan Africa,1993,37.6
GHA,Ghana,Sub-Saharan Africa,1998,35.5
GHA,Ghana,Sub-Saharan Africa,2003,27.9
GHA,Ghana,Sub-Saharan Africa,2008,24.6
GHA,Ghana,Sub-Saharan Africa,2014,20.7
GHA,Ghana,Sub-Saharan Africa,2022,16.1
GTM,Guatemala,Europe and Northern America,1987,41.2
GTM,Guatemala,Europe and Northern America,1995,38.6
GTM,Guatemala,Europe and Northern America,1999,34.3
GTM,Guatemala,Europe and Northern America,2015,29.5
GIN,Guinea,Sub-Saharan Africa,1999,64.5
GIN,Guinea,Sub-Saharan Africa,2005,63.1
GIN,Guinea,Sub-Saharan Africa,2012,51.7
GIN,Guinea,Sub-Saharan Africa,2018,46.5
GNB,Guinea-Bissau,Sub-Saharan Africa,2019,25.7
GUY,Guyana,Latin America and the Caribbean,2005,28.2
GUY,Guyana,Latin America and the Caribbean,2009,23.0
GUY,Guyana,Latin America and the Caribbean,2020,32.3
HTI,Haiti,Europe and Northern America,1995,23.8
HTI,Haiti,Europe and Northern America,2000,24.1
HTI,Haiti,Europe and Northern America,2006,29.9
HTI,Haiti,Europe and Northern America,2012,17.5
HTI,Haiti,Europe and Northern America,2017,14.9
HND,Honduras,Europe and Northern America,2006,38.8
HND,Honduras,Europe and Northern America,2012,33.6
HND,Honduras,Europe and Northern America,2019,34.0
IND,India,Central and Southern Asia,1993,50.2
IND,India,Central and Southern Asia,1999,50.0
IND,India,Central and Southern Asia,2006,44.5
IND,India,Central and Southern Asia,2016,25.3
IND,India,Central and Southern Asia,2021,22.3
IDN,Indonesia,Central and Southern Asia,1987,35.1
IDN,Indonesia,Central and Southern Asia,1991,34.1
IDN,Indonesia,Central and Southern Asia,1994,30.8
IDN,Indonesia,Central and Southern Asia,1997,29.6
IDN,Indonesia,Central and Southern Asia,2003,24.2
IDN,Indonesia,Central and Southern Asia,2007,22.0
IDN,Indonesia,Central and Southern Asia,2012,17.0
IDN,Indonesia,Central and Southern Asia,2017,16.3
IRN,Iran,Central and Southern Asia,2010,16.7
IRQ,Iraq,Central and Southern Asia,2018,27.9
JAM,Jamaica,Europe and Northern America,2011,7.9
JOR,Jordan,Central and Southern Asia,1990,16.4
JOR,Jordan,Central and Southern Asia,1997,13.5
JOR,Jordan,Central and Southern Asia,2002,11.1
JOR,Jordan,Central and Southern Asia,2007,9.6
JOR,Jordan,Central and Southern Asia,2009,10.2
JOR,Jordan,Central and Southern Asia,2012,8.4
JOR,Jordan,Central and Southern Asia,2018,9.7
KAZ,Kazakhstan,Central and Southern Asia,1995,18.5
KAZ,Kazakhstan,Central and Southern Asia,1999,14.4
KAZ,Kazakhstan,Central and Southern Asia,2015,7.0
KEN,Kenya,Sub-Saharan Africa,1989,31.0
KEN,Kenya,Sub-Saharan Africa,1993,28.1
KEN,Kenya,Sub-Saharan Africa,1998,24.6
KEN,Kenya,Sub-Saharan Africa,2003,24.6
KEN,Kenya,Sub-Saharan Africa,2009,26.4
KEN,Kenya,Sub-Saharan Africa,2014,22.9
KEN,Kenya,Sub-Saharan Africa,2022,12.5
KIR,Kiribati,Oceania,2019,18.4
KGZ,Kyrgyzstan,Central and Southern Asia,1997,21.2
KGZ,Kyrgyzstan,Central and Southern Asia,2012,7.8
KGZ,Kyrgyzstan,Central and Southern Asia,2018,12.9
LAO,Laos,Central and Southern Asia,2017,32.7
LBN,Lebanon,Central and Southern Asia,2016,6.0
LSO,Lesotho,Sub-Saharan Africa,2004,23.0
LSO,Lesotho,Sub-Saharan Africa,2009,18.8
LSO,Lesotho,Sub-Saharan Africa,2014,17.3
LSO,Lesotho,Sub-Saharan Africa,2018,16.4
LBR,Liberia,Sub-Saharan Africa,1986,48.4
LBR,Liberia,Sub-Saharan Africa,2007,37.9
LBR,Liberia,Sub-Saharan Africa,2013,35.9
LBR,Liberia,Sub-Saharan Africa,2020,24.9
LTU,Lithuania,Europe and Northern America,2022,0.2
MDG,Madagascar,Sub-Saharan Africa,1992,36.9
MDG,Madagascar,Sub-Saharan Africa,1997,40.4
MDG,Madagascar,Sub-Saharan Africa,2004,38.8
MDG,Madagascar,Sub-Saharan Africa,2009,48.2
MDG,Madagascar,Sub-Saharan Africa,2021,38.8
MWI,Malawi,Sub-Saharan Africa,1992,54.9
MWI,Malawi,Sub-Saharan Africa,2000,46.9
MWI,Malawi,Sub-Saharan Africa,2004,48.9
MWI,Malawi,Sub-Saharan Africa,2010,49.6
MWI,Malawi,Sub-Saharan Africa,2016,42.1
MWI,Malawi,Sub-Saharan Africa,2020,37.7
MDV,Maldives,Central and Southern Asia,2009,3.9
MDV,Maldives,Central and Southern Asia,2017,2.2
MLI,Mali,Sub-Saharan Africa,1987,78.1
MLI,Mali,Sub-Saharan Africa,1996,69.9
MLI,Mali,Sub-Saharan Africa,2001,65.4
MLI,Mali,Sub-Saharan Africa,2006,70.6
MLI,Mali,Sub-Saharan Africa,2013,59.6
MLI,Mali,Sub-Saharan Africa,2018,53.7
MHL,Marshall Islands,Oceania,2007,26.3
MRT,Mauritania,Sub-Saharan Africa,2001,37.2
MRT,Mauritania,Sub-Saharan Africa,2021,36.6
MEX,Mexico,Europe and Northern America,1987,27.6
MEX,Mexico,Europe and Northern America,2018,20.7
MDA,Moldova,Europe and Northern America,2005,18.9
MDA,Moldova,Europe and Northern America,2012,12.2
MNG,Mongolia,Central and Southern Asia,2018,12.0
MNE,Montenegro,Europe and Northern America,2018,5.8
MAR,Morocco,Sub-Saharan Africa,1987,24.0
MAR,Morocco,Sub-Saharan Africa,1992,18.4
MAR,Morocco,Sub-Saharan Africa,2004,15.9
MAR,Morocco,Sub-Saharan Africa,2018,13.7
MOZ,Mozambique,Sub-Saharan Africa,1997,56.6
MOZ,Mozambique,Sub-Saharan Africa,2003,55.9
MOZ,Mozambique,Sub-Saharan Africa,2009,56.2
MOZ,Mozambique,Sub-Saharan Africa,2011,48.2
MOZ,Mozambique,Sub-Saharan Africa,2015,52.9
MOZ,Mozambique,Sub-Saharan Africa,2023,48.4
MMR,Myanmar,Central and Southern Asia,2016,16.0
NAM,Namibia,Sub-Saharan Africa,1992,11.4
NAM,Namibia,Sub-Saharan Africa,2000,9.8
NAM,Namibia,Sub-Saharan Africa,2007,8.5
NAM,Namibia,Sub-Saharan Africa,2013,6.9
NRU,Nauru,Oceania,2007,26.8
NPL,Nepal,Central and Southern Asia,1996,60.3
NPL,Nepal,Central and Southern Asia,2001,56.1
