iso3,year,pct_gdp,country,continent,level
ABW,2000,21.80771064758301,ABW,North America,total
ABW,2001,21.32317924499512,ABW,North America,total
ABW,2002,19.75715065002441,ABW,North America,total
ABW,2004,14.90291023254395,ABW,North America,total
ABW,2005,18.88828086853027,ABW,North America,total
ABW,2007,20.79264068603516,ABW,North America,total
ABW,2008,19.02882957458496,ABW,North America,total
ABW,2009,21.56355094909668,ABW,North America,total
ABW,2010,22.17678070068359,ABW,North America,total
ABW,2011,21.75053977966309,ABW,North America,total
ABW,2012,20.63408088684082,ABW,North America,total
ABW,2013,21.87763023376465,ABW,North America,total
ABW,2014,19.61797904968262,ABW,North America,total
ABW,2015,23.20137977600098,ABW,North America,total
ABW,2016,21.85375022888184,ABW,North America,total
ABW,2017,18.52140849515657,ABW,North America,total
ABW,2018,20.12344033946892,ABW,North America,total
ABW,2019,19.40142706009356,ABW,North America,total
ABW,2021,10.95644296081246,ABW,North America,total
AFG,2000,0.0,AFG,Asia,total
AFG,2001,0.0,AFG,Asia,total
AFG,2010,17.07712936401367,AFG,Asia,total
AFG,2011,16.04842948913574,AFG,Asia,total
AFG,2012,10.3568000793457,AFG,Asia,total
AFG,2013,14.1028003692627,AFG,Asia,total
AFG,2014,14.46592998504639,AFG,Asia,total
AFG,2015,12.50899982452393,AFG,Asia,total
AFG,2016,16.21170043945313,AFG,Asia,total
AFG,2017,15.66137981414795,AFG,Asia,total
AGO,2000,5.255080223083496,AGO,Africa,total
AGO,2005,7.992350101470947,AGO,Africa,total
AGO,2006,7.454790115356445,AGO,Africa,total
AGO,2010,8.684769630432129,AGO,Africa,total
AGO,2012,8.370432445245541,AGO,Africa,total
AGO,2013,8.826970611277849,AGO,Africa,total
AGO,2015,8.918776535199198,AGO,Africa,total
AGO,2016,6.550974048507172,AGO,Africa,total
AGO,2017,6.763776862139573,AGO,Africa,total
AGO,2018,5.777524545665425,AGO,Africa,total
AGO,2019,6.045355647235148,AGO,Africa,total
AGO,2020,5.294735722737711,AGO,Africa,total
AGO,2021,6.919610063027055,AGO,Africa,total
AGO,2022,6.640472120780773,AGO,Africa,total
AGO,2023,7.738962509912019,AGO,Africa,total
AGO,2024,6.36976605603197,AGO,Africa,total
AIA,2013,12.04232749356389,AIA,North America,total
AIA,2014,11.60092064586532,AIA,North America,total
AIA,2015,12.54403384916802,AIA,North America,total
AIA,2016,11.97237149643151,AIA,North America,total
AIA,2017,11.59026985581959,AIA,North America,total
AIA,2018,9.108467654682055,AIA,North America,total
AIA,2019,11.11986072965301,AIA,North America,total
AIA,2020,10.67566828407773,AIA,North America,total
AIA,2021,11.04676370718868,AIA,North America,total
AIA,2022,13.35959095412863,AIA,North America,total
AIA,2023,12.97385720863458,AIA,North America,total
AIA,2024,10.2872343982428,AIA,North America,total
ALB,2000,10.13702964782715,ALB,Europe,total
ALB,2001,10.58193016052246,ALB,Europe,total
ALB,2002,9.886919975280762,ALB,Europe,total
ALB,2003,10.57359981536865,ALB,Europe,total
ALB,2004,10.70316028594971,ALB,Europe,total
ALB,2005,11.35797023773193,ALB,Europe,total
ALB,2006,10.93295001983643,ALB,Europe,total
ALB,2007,11.17718982696533,ALB,Europe,total
ALB,2011,10.96722347168107,ALB,Europe,total
ALB,2012,11.50985671468504,ALB,Europe,total
ALB,2013,12.12390995025635,ALB,Europe,total
ALB,2014,10.91816811673631,ALB,Europe,total
ALB,2015,11.17755031585693,ALB,Europe,total
ALB,2016,13.59696006774902,ALB,Europe,total
ALB,2017,12.38521003723145,ALB,Europe,total
ALB,2018,10.88173224365852,ALB,Europe,total
ALB,2019,13.43340015411377,ALB,Europe,total
ALB,2020,10.26743030548096,ALB,Europe,total
ALB,2021,9.40900993347168,ALB,Europe,total
ALB,2022,9.014089584350586,ALB,Europe,total
ALB,2023,10.85657978057861,ALB,Europe,total
AND,2012,9.84161391329076,AND,Europe,total
AND,2013,6.195529937744141,AND,Europe,total
AND,2014,13.31521034240723,AND,Europe,total
AND,2015,10.44281005859375,AND,Europe,total
AND,2016,9.99098014831543,AND,Europe,total
AND,2017,9.39243984222412,AND,Europe,total
AND,2018,13.4619197845459,AND,Europe,total
AND,2019,10.89523983001709,AND,Europe,total
AND,2020,8.991869225938949,AND,Europe,total
AND,2021,10.26473536638295,AND,Europe,total
AND,2022,6.961249828338623,AND,Europe,total
AND,2023,12.76951536894096,AND,Europe,total
AND,2024,12.00451540811257,AND,Europe,total
ARE,2019,13.56886959075928,ARE,Asia,total
ARE,2020,12.79823017120361,ARE,Asia,total
ARE,2021,14.75561046600342,ARE,Asia,total
ARG,2000,16.22615051269531,ARG,South America,total
ARG,2001,16.35596084594727,ARG,South America,total
ARG,2002,16.44220924377441,ARG,South America,total
ARG,2003,14.35472011566162,ARG,South America,total
ARG,2004,15.13930034637451,ARG,South America,total
ARG,2005,15.8031702041626,ARG,South America,total
ARG,2006,15.50984001159668,ARG,South America,total
ARG,2007,15.10157012939453,ARG,South America,total
ARG,2008,15.74783992767334,ARG,South America,total
ARG,2009,16.02066993713379,ARG,South America,total
ARG,2010,15.04796981811523,ARG,South America,total
ARG,2011,15.15855979919434,ARG,South America,total
ARG,2012,14.51826000213623,ARG,South America,total
ARG,2013,14.45792961120605,ARG,South America,total
ARG,2014,13.79932975769043,ARG,South America,total
ARG,2015,13.96331024169922,ARG,South America,total
ARG,2016,13.35554027557373,ARG,South America,total
ARG,2017,13.26391983032227,ARG,South America,total
ARG,2018,12.52334022521973,ARG,South America,total
ARG,2019,12.51445960998535,ARG,South America,total
ARG,2020,12.42228984832764,ARG,South America,total
ARG,2021,12.28489971160889,ARG,South America,total
ARG,2022,12.70757961273193,ARG,South America,total
ARG,2023,13.22395992279053,ARG,South America,total
ARM,2000,0.0,ARM,Asia,total
ARM,2001,0.0,ARM,Asia,total
ARM,2002,0.0,ARM,Asia,total
ARM,2003,0.0,ARM,Asia,total
ARM,2004,0.0,ARM,Asia,total
ARM,2005,13.64809036254883,ARM,Asia,total
ARM,2006,13.57851982116699,ARM,Asia,total
ARM,2007,13.46558952331543,ARM,Asia,total
ARM,2008,14.2684497833252,ARM,Asia,total
ARM,2009,13.45121955871582,ARM,Asia,total
ARM,2010,12.40050983428955,ARM,Asia,total
ARM,2011,12.59333992004395,ARM,Asia,total
ARM,2012,12.36896991729736,ARM,Asia,total
ARM,2013,11.13675975799561,ARM,Asia,total
ARM,2014,9.367119789123535,ARM,Asia,total
ARM,2015,10.65635967254639,ARM,Asia,total
ARM,2016,10.19719982147217,ARM,Asia,total
ARM,2017,10.40312957763672,ARM,Asia,total
ARM,2018,8.678587595846022,ARM,Asia,total
ARM,2019,8.575244272365575,ARM,Asia,total
ARM,2020,8.827779769897461,ARM,Asia,total
ARM,2021,9.655320167541504,ARM,Asia,total
ARM,2022,9.446550369262695,ARM,Asia,total
ARM,2023,9.03689956665039,ARM,Asia,total
ARM,2024,9.440014663011535,ARM,Asia,total
ATG,2002,11.70153999328613,ATG,North America,total
ATG,2009,6.928140163421631,ATG,North America,total
ATG,2012,10.14325661585533,ATG,North America,total
ATG,2013,10.73023376289031,ATG,North America,total
ATG,2014,10.31662372166527,ATG,North America,total
ATG,2015,7.630211861107441,ATG,North America,total
ATG,2016,6.483569777718107,ATG,North America,total
ATG,2017,7.172854627390551,ATG,North America,total
ATG,2018,7.587625434543993,ATG,North America,total
ATG,2019,9.543664171125895,ATG,North America,total
ATG,2020,7.378756730220585,ATG,North America,total
ATG,2021,6.85999508093725,ATG,North America,total
ATG,2022,7.805379692752923,ATG,North America,total
ATG,2023,8.669606644639806,ATG,North America,total
ATG,2024,11.03589805478581,ATG,North America,total
AUS,2020,12.16913986206055,AUS,Oceania,total
AUS,2021,12.1088399887085,AUS,Oceania,total
AUS,2022,12.64196968078613,AUS,Oceania,total
AUT,2000,11.0332202911377,AUT,Europe,total
AUT,2001,10.81678009033203,AUT,Europe,total
AUT,2002,10.77766036987305,AUT,Europe,total
AUT,2003,10.41788005828857,AUT,Europe,total
AUT,2004,9.83547019958496,AUT,Europe,total
AUT,2005,10.22817039489746,AUT,Europe,total
AUT,2006,10.33712005615234,AUT,Europe,total
AUT,2007,10.41668033599854,AUT,Europe,total
AUT,2008,10.51202964782715,AUT,Europe,total
AUT,2009,10.56037044525146,AUT,Europe,total
AUT,2010,10.75069046020508,AUT,Europe,total
AUT,2011,10.96181964874268,AUT,Europe,total
AUT,2012,10.65845966339111,AUT,Europe,total
AUT,2013,10.67006969451904,AUT,Europe,total
AUT,2014,10.49254035949707,AUT,Europe,total
AUT,2015,10.7222204208374,AUT,Europe,total
AUT,2016,10.87989044189453,AUT,Europe,total
AUT,2017,10.84245014190674,AUT,Europe,total
AUT,2018,10.68115043640137,AUT,Europe,total
AUT,2019,10.67115020751953,AUT,Europe,total
AUT,2020,9.735380172729492,AUT,Europe,total
AUT,2021,9.782340049743652,AUT,Europe,total
AUT,2022,9.95557975769043,AUT,Europe,total
AZE,2000,21.11907958984375,AZE,Asia,total
AZE,2001,20.87755012512207,AZE,Asia,total
AZE,2002,13.6307201385498,AZE,Asia,total
AZE,2003,15.1708402633667,AZE,Asia,total
AZE,2004,14.23503971099854,AZE,Asia,total
AZE,2005,13.2231502532959,AZE,Asia,total
AZE,2006,10.10041999816895,AZE,Asia,total
AZE,2007,9.779370307922363,AZE,Asia,total
AZE,2008,7.763840198516846,AZE,Asia,total
AZE,2009,9.3439302444458,AZE,Asia,total
AZE,2010,8.70083999633789,AZE,Asia,total
AZE,2011,7.219860076904297,AZE,Asia,total
AZE,2012,5.643670082092285,AZE,Asia,total
AZE,2013,6.46412992477417,AZE,Asia,total
AZE,2014,7.238729953765869,AZE,Asia,total
AZE,2015,7.627110004425049,AZE,Asia,total
AZE,2016,8.195779800415039,AZE,Asia,total
AZE,2017,6.954559803009033,AZE,Asia,total
AZE,2018,7.399650096893311,AZE,Asia,total
AZE,2019,9.767569541931152,AZE,Asia,total
AZE,2020,10.78785037994385,AZE,Asia,total
AZE,2021,11.50881958007813,AZE,Asia,total
AZE,2022,11.63961029052734,AZE,Asia,total
AZE,2023,11.18455028533936,AZE,Asia,total
AZE,2024,11.44960076291508,AZE,Asia,total
BDI,2000,10.73526000976563,BDI,Africa,total
BDI,2001,11.43313026428223,BDI,Africa,total
BDI,2002,12.48608016967773,BDI,Africa,total
BDI,2004,9.17908000946045,BDI,Africa,total
BDI,2005,10.95926952362061,BDI,Africa,total
BDI,2008,12.61553955078125,BDI,Africa,total
BDI,2009,16.30168914794922,BDI,Africa,total
BDI,2010,16.58810043334961,BDI,Africa,total
BDI,2011,14.97929954528809,BDI,Africa,total
BDI,2012,16.42831993103027,BDI,Africa,total
BDI,2013,17.24325942993164,BDI,Africa,total
BDI,2014,23.84000015258789,BDI,Africa,total
BDI,2015,27.49724006652832,BDI,Africa,total
BDI,2016,20.78461074829102,BDI,Africa,total
BDI,2017,19.76485061645508,BDI,Africa,total
BDI,2018,19.51926040649414,BDI,Africa,total
BDI,2019,21.2221666369194,BDI,Africa,total
BDI,2020,20.74195234309137,BDI,Africa,total
BDI,2021,20.43854000560069,BDI,Africa,total
BDI,2022,20.63708380730232,BDI,Africa,total
BEL,2005,11.1755199432373,BEL,Europe,total
BEL,2008,12.47245025634766,BEL,Europe,total
BEL,2009,11.80014991760254,BEL,Europe,total
BEL,2010,11.94892024993896,BEL,Europe,total
BEL,2011,11.60301971435547,BEL,Europe,total
BEL,2012,11.67440032958984,BEL,Europe,total
BEL,2013,11.80877017974854,BEL,Europe,total
BEL,2014,11.83518981933594,BEL,Europe,total
BEL,2015,12.00726985931396,BEL,Europe,total
BEL,2016,12.15122032165527,BEL,Europe,total
BEL,2017,12.34185981750488,BEL,Europe,total
BEL,2018,12.18058013916016,BEL,Europe,total
BEL,2019,12.2196102142334,BEL,Europe,total
BEL,2020,11.55578994750977,BEL,Europe,total
BEL,2021,11.6143798828125,BEL,Europe,total
BEL,2022,12.01037979125977,BEL,Europe,total
BEN,2000,13.51319980621338,BEN,Africa,total
BEN,2001,15.31058025360107,BEN,Africa,total
BEN,2002,14.12907981872559,BEN,Africa,total
BEN,2003,16.68252944946289,BEN,Africa,total
BEN,2004,19.21394920349121,BEN,Africa,total
BEN,2005,18.79039001464844,BEN,Africa,total
BEN,2006,19.70960998535156,BEN,Africa,total
BEN,2007,14.94869041442871,BEN,Africa,total
BEN,2008,19.08857917785645,BEN,Africa,total
BEN,2009,18.17561912536621,BEN,Africa,total
BEN,2010,26.14396095275879,BEN,Africa,total
BEN,2012,25.02131080627441,BEN,Africa,total
BEN,2013,22.34122085571289,BEN,Africa,total
BEN,2014,22.22771072387695,BEN,Africa,total
BEN,2015,17.47952079772949,BEN,Africa,total
BEN,2016,18.79140090942383,BEN,Africa,total
BEN,2017,19.8796501159668,BEN,Africa,total
BEN,2018,17.70918083190918,BEN,Africa,total
BEN,2019,18.86811614915913,BEN,Africa,total
BEN,2020,15.72035389877586,BEN,Africa,total
BEN,2021,14.7747873406015,BEN,Africa,total
BEN,2022,14.99147068718993,BEN,Africa,total
