iso3,country,continent,year_2000,year_2023,delta
PSE,Palestine,Asia,70.2984,65.1703,-5.128100000000003
PAN,Panama,North America,73.4432,79.5937,6.150499999999994
PNG,Papua New Guinea,Oceania,61.6091,66.134,4.524900000000002
PRY,Paraguay,South America,70.0259,73.8443,3.818400000000011
PER,Peru,South America,69.821,77.7401,7.9191
PHL,Philippines,Asia,67.7892,69.8327,2.0435000000000088
POL,Poland,Europe,73.6453,78.6329,4.9876000000000005
PRT,Portugal,Europe,76.8301,82.3599,5.5297999999999945
PRI,Puerto Rico,North America,75.5141,81.6902,6.176100000000005
QAT,Qatar,Asia,75.25,82.368,7.117999999999995
REU,Reunion,Africa,77.0091,83.5472,6.5381
ROU,Romania,Europe,71.1594,75.9381,4.778700000000001
RUS,Russia,Europe,64.9982,73.1541,8.155900000000003
RWA,Rwanda,Africa,47.7977,67.7852,19.987500000000004
BLM,Saint Barthelemy,North America,79.3411,84.2901,4.948999999999998
SHN,Saint Helena,Africa,75.7544,76.7869,1.0324999999999989
KNA,Saint Kitts and Nevis,North America,69.2488,72.1447,2.8958999999999975
LCA,Saint Lucia,North America,70.7791,72.6968,1.9176999999999964
MAF,Saint Martin (French part),North America,76.7932,80.2238,3.4305999999999983
SPM,Saint Pierre and Miquelon,North America,74.8809,76.7578,1.8769000000000062
VCT,Saint Vincent and the Grenadines,North America,70.3498,71.2301,0.8802999999999912
WSM,Samoa,Oceania,70.7906,71.6982,0.9076000000000022
SMR,San Marino,Europe,80.5036,85.7062,5.20259999999999
STP,Sao Tome and Principe,Africa,61.2067,69.7182,8.511499999999998
SAU,Saudi Arabia,Asia,72.6067,78.7321,6.125399999999999
SEN,Senegal,Africa,57.6153,68.6829,11.067600000000006
SRB,Serbia,Europe,72.3344,76.7693,4.434899999999999
SYC,Seychelles,Africa,71.3127,72.862,1.5492999999999881
SLE,Sierra Leone,Africa,44.8341,61.7858,16.951700000000002
SGP,Singapore,Asia,77.7525,83.7362,5.983699999999999
SXM,Sint Maarten (Dutch part),North America,74.4091,76.371,1.9619
SVK,Slovakia,Europe,73.1393,78.3414,5.202099999999987
SVN,Slovenia,Europe,75.8302,81.6034,5.773199999999989
SLB,Solomon Islands,Oceania,67.1164,70.5277,3.411299999999997
SOM,Somalia,Africa,50.7466,58.8158,8.069200000000002
ZAF,South Africa,Africa,58.3678,66.1387,7.7708999999999975
KOR,South Korea,Asia,76.2351,84.3288,8.093699999999998
SSD,South Sudan,Africa,47.5913,57.6174,10.026100000000007
ESP,Spain,Europe,79.4123,83.6703,4.257999999999996
LKA,Sri Lanka,Asia,71.1787,77.4828,6.304099999999991
SDN,Sudan,Africa,58.9456,66.331,7.385400000000004
SUR,Suriname,South America,64.4089,73.631,9.222099999999998
SWE,Sweden,Europe,79.7387,83.2624,3.523700000000005
CHE,Switzerland,Europe,79.834,83.9536,4.119599999999991
SYR,Syria,Asia,70.8563,72.1201,1.2637999999999892
TWN,Taiwan,Asia,76.1389,80.5588,4.419899999999998
TJK,Tajikistan,Asia,63.542,71.7901,8.248099999999994
TZA,Tanzania,Africa,53.2439,66.9953,13.751400000000004
THA,Thailand,Asia,71.2053,76.4115,5.20620000000001
TGO,Togo,Africa,54.577,62.7387,8.161700000000003
TKL,Tokelau,Oceania,72.1967,77.0512,4.854499999999987
TON,Tonga,Oceania,69.6349,72.8947,3.2597999999999985
TTO,Trinidad and Tobago,North America,68.6288,73.4896,4.860799999999998
TUN,Tunisia,Africa,72.6043,76.5077,3.903400000000005
TUR,Turkey,Europe,71.9312,77.1557,5.224499999999992
TKM,Turkmenistan,Asia,64.9315,70.0727,5.141199999999998
TCA,Turks and Caicos Islands,North America,73.9715,78.0077,4.036199999999994
TUV,Tuvalu,Oceania,63.5356,67.1049,3.5692999999999984
UGA,Uganda,Africa,49.6397,68.2523,18.612600000000008
UKR,Ukraine,Europe,67.7862,73.4225,5.636300000000006
ARE,United Arab Emirates,Asia,76.347,82.9091,6.562100000000001
GBR,United Kingdom,Europe,77.8491,81.3015,3.4523999999999972
USA,United States,North America,76.8058,79.3043,2.498499999999993
VIR,United States Virgin Islands,North America,71.8046,75.4724,3.6677999999999997
URY,Uruguay,South America,74.6929,78.1385,3.445599999999999
UZB,Uzbekistan,Asia,65.456,72.3884,6.932400000000001
VUT,Vanuatu,Oceania,68.586,71.4769,2.890900000000002
VAT,Vatican,Europe,79.3373,82.9848,3.647500000000008
VEN,Venezuela,South America,72.3876,72.5142,0.12659999999999627
VNM,Vietnam,Asia,72.7455,74.5883,1.8427999999999969
WLF,Wallis and Futuna,Oceania,75.3901,78.6286,3.238500000000002
ESH,Western Sahara,Africa,62.7345,71.385,8.650500000000008
YEM,Yemen,Asia,62.761,69.2952,6.534199999999991
ZMB,Zambia,Africa,46.5771,66.3487,19.771599999999992
ZWE,Zimbabwe,Africa,46.0339,62.7748,16.740899999999996
AFR,Africa,Africa,56.26437586206897,66.21601379310344,9.951637931034483
ASI,Asia,Asia,69.08679333333333,75.37540666666668,6.288613333333334
EUR,Europe,Europe,75.22593636363635,79.9084509090909,4.682514545454545
NOR,North America,North America,72.80390975609755,76.32810975609756,3.5242
OCE,Oceania,Oceania,69.56675652173912,72.9479,3.38114347826087
SOU,South America,South America,70.37021428571428,75.7391142857143,5.368900000000001
