code,country,continent,year,source,by15_pct,by18_pct,by15_n,by18_n
NIC,Nicaragua,North America,2012.0,ENDESA 2011-12,10.0,35.0,328900.0,1100000.0
NER,Niger,Africa,2012.0,DHS 2012,28.0,76.0,2600000.0,5500000.0
NGA,Nigeria,Africa,2021.0,MICS 2021,12.0,30.0,10600000.0,23700000.0
MKD,North Macedonia,Europe,2019.0,MICS 2018-19,0.0,8.0,10900.0,106600.0
NOR,Norway,Europe,2022.0,Statistics Norway 2022,0.0,0.0,,
OMN,Oman,Asia,2014.0,MICS 2014,1.0,4.0,136600.0,306900.0
PAK,Pakistan,Asia,2018.0,DHS 2017-18,4.0,18.0,5000000.0,20500000.0
PAN,Panama,North America,2013.0,MICS 2013,7.0,26.0,102700.0,383200.0
PNG,Papua New Guinea,Oceania,2018.0,DHS 2016-18,8.0,27.0,266400.0,863400.0
PRY,Paraguay,South America,2016.0,MICS 2016,4.0,22.0,98200.0,501600.0
PER,Peru,South America,2023.0,ENDES 2023,3.0,19.0,383600.0,2300000.0
PHL,Philippines,Asia,2022.0,DHS 2022,2.0,9.0,803200.0,5100000.0
QAT,Qatar,Asia,2023.0,MICS 2023,0.0,2.0,0.0,41800.0
MDA,Moldova,Europe,2012.0,MICS 2012,0.0,12.0,8800.0,179600.0
ROU,Romania,Europe,2021.0,Population and Housing Census 2021,1.0,7.0,,
RUS,Russia,Europe,2017.0,"RPN 2017, Sample Survey of the Reproductive Plans of the Population",0.0,6.0,254300.0,5400000.0
RWA,Rwanda,Africa,2020.0,DHS 2019-20,0.0,6.0,44500.0,543700.0
LCA,Saint Lucia,North America,2012.0,MICS 2012,4.0,24.0,2700.0,11600.0
WSM,Samoa,Oceania,2020.0,MICS 2019-20,1.0,7.0,700.0,5700.0
STP,Sao Tome and Principe,Africa,2019.0,MICS 2019,5.0,28.0,4500.0,20600.0
SAU,Saudi Arabia,Asia,2024.0,Woman and Child Health Survey 2024,0.0,3.0,,
SEN,Senegal,Africa,2023.0,Continuous DHS 2023,9.0,30.0,554500.0,2000000.0
SRB,Serbia,Europe,2019.0,MICS 2019,1.0,6.0,28700.0,246300.0
SLE,Sierra Leone,Africa,2019.0,DHS 2019,9.0,30.0,371800.0,1100000.0
SGP,Singapore,Asia,2024.0,Singapore Department of Statistics,0.0,0.0,,
SLB,Solomon Islands,Oceania,2015.0,DHS 2015,6.0,21.0,14600.0,51200.0
