iso_code,country,region,edu_out_avg
DZA,Algeria,Haut Plateau Centre,0.0462
DZA,Algeria,Haut Plateau Est,0.024
DZA,Algeria,Haut Plateau Ouest,0.0215
DZA,Algeria,Nord Centre,0.0294
DZA,Algeria,Nord Est,0.0255
DZA,Algeria,Nord Ouest,0.0294
DZA,Algeria,Sud,0.0274
EGY,Egypt,Alexandria,0.0605
EGY,Egypt,Assiut,0.0763
EGY,Egypt,Aswan,0.0428
EGY,Egypt,Bani Swef,0.0311
EGY,Egypt,Bani swef,0.0614
EGY,Egypt,Beheira,0.0602
EGY,Egypt,Cairo,0.0252
EGY,Egypt,Dakahlia,0.0477
EGY,Egypt,Damietta,0.0206
EGY,Egypt,Elbahr elahmar,0.0126
EGY,Egypt,Elwadi elgadid,0.0
EGY,Egypt,Fayoum,0.0815
EGY,Egypt,Frontier Governorates,0.0629
EGY,Egypt,Gharbia,0.0373
EGY,Egypt,Giza,0.0408
EGY,Egypt,Ismailya,0.0475
EGY,Egypt,Kafr Elsheikh,0.0229
EGY,Egypt,Kafr elsheikh,0.0566
EGY,Egypt,Lower Egypt Rural,0.0358
EGY,Egypt,Lower Egypt Urban,0.026
EGY,Egypt,Luxor,0.0373
EGY,Egypt,Matrouh,0.1054
EGY,Egypt,Menia,0.065
EGY,Egypt,Monofia,0.0389
EGY,Egypt,North sinai,0.0229
EGY,Egypt,Port Said,0.0212
EGY,Egypt,Port said,0.0405
EGY,Egypt,Qena,0.0556
EGY,Egypt,Qualioubia,0.0338
EGY,Egypt,Sharkia,0.0288
EGY,Egypt,Sohag,0.1045
EGY,Egypt,Suez,0.0301
EGY,Egypt,Upper Egypt Rural,0.0879
EGY,Egypt,Upper Egypt Urban,0.0444
EGY,Egypt,Urban Governorates,0.0414
ETH,Ethiopia,Addis Ababa,0.1209
ETH,Ethiopia,Afar,0.7023
ETH,Ethiopia,Amhara,0.4694
ETH,Ethiopia,Benishangul Gumuz,0.4452
ETH,Ethiopia,Dire Dawa,0.3563
ETH,Ethiopia,Gambela,0.3433
ETH,Ethiopia,Harari,0.3148
ETH,Ethiopia,Oromia,0.5274
ETH,Ethiopia,SNNPR,0.5463
ETH,Ethiopia,Somali,0.7124
ETH,Ethiopia,Tigray,0.436
GAB,Gabon,Estuaire,0.0628
GAB,Gabon,Haut Ogooue,0.0686
GAB,Gabon,Libreville Port Gentil,0.0402
GAB,Gabon,Moyen Ogooue,0.0965
GAB,Gabon,Ngounie,0.0762
GAB,Gabon,Nyanga,0.0711
GAB,Gabon,Ogooue Ivindo,0.1253
GAB,Gabon,Ogooue Lolo,0.0844
GAB,Gabon,Ogooue Maritime,0.052
GAB,Gabon,Woleu Ntem,0.0229
GHA,Ghana,Ashanti,0.2426
GHA,Ghana,Brong Ahafo,0.2958
GHA,Ghana,Central,0.3439
GHA,Ghana,Eastern,0.2822
GHA,Ghana,Greater Accra,0.2019
GHA,Ghana,Northern,0.4033
GHA,Ghana,Upper East,0.3264
GHA,Ghana,Upper West,0.3838
GHA,Ghana,Volta,0.2908
GHA,Ghana,Western,0.2308
GIN,Guinea,Boke,0.3644
GIN,Guinea,Conakry,0.125
GIN,Guinea,Faranah,0.4912
GIN,Guinea,Kankan,0.5824
GIN,Guinea,Kindia,0.3725
GIN,Guinea,Labe,0.4379
GIN,Guinea,Mamou,0.3924
GIN,Guinea,N'Zerekore,0.3435
GMB,Gambia,Banjul,0.0995
GMB,Gambia,Basse,0.3239
GMB,Gambia,Brikama,0.2
GMB,Gambia,Janjanbureh,0.4017
GMB,Gambia,Kanifing,0.161
GMB,Gambia,Kerewan,0.3253
GMB,Gambia,Kuntaur,0.4973
GMB,Gambia,Mansakonko,0.1662
GNB,Guinea-Bissau,Bafata,0.4205
GNB,Guinea-Bissau,Biombo,0.2714
GNB,Guinea-Bissau,Bolama/Bijagos,0.2429
GNB,Guinea-Bissau,Cacheu,0.2943
GNB,Guinea-Bissau,Gabu,0.5086
GNB,Guinea-Bissau,Oio,0.4614
GNB,Guinea-Bissau,Quinara,0.2935
GNB,Guinea-Bissau,Sab,0.1992
GNB,Guinea-Bissau,Tombali,0.3163
KEN,Kenya,Central,0.0681
KEN,Kenya,Coast,0.2814
KEN,Kenya,Eastern,0.1236
KEN,Kenya,Nairobi,0.1091
KEN,Kenya,North Eastern,0.5518
KEN,Kenya,Nyanza,0.186
KEN,Kenya,Rift Valley,0.218
KEN,Kenya,Western,0.134
LBR,Liberia,Monrovia,0.492
LBR,Liberia,North Central,0.6943
LBR,Liberia,North Western,0.6838
LBR,Liberia,South Central,0.5765
LBR,Liberia,South Eastern A,0.6876
LBR,Liberia,South Eastern B,0.5978
LSO,Lesotho,Berea,0.0228
LSO,Lesotho,Butha Buthe,0.048
LSO,Lesotho,Leribe,0.0259
LSO,Lesotho,Mafeteng,0.0406
LSO,Lesotho,Maseru,0.0372
LSO,Lesotho,Mohale's Hoek,0.0793
LSO,Lesotho,Mokhotlong,0.0935
LSO,Lesotho,Qacha's Nek,0.047
LSO,Lesotho,Quthing,0.0569
LSO,Lesotho,Thaba Tseka,0.1015
MDG,Madagascar,Alaotra Mangoro,0.1378
MDG,Madagascar,Amoron I Mania,0.1653
MDG,Madagascar,Amoron'i Mania,0.1891
MDG,Madagascar,Analamanga,0.0612
MDG,Madagascar,Analanjirofo,0.1284
MDG,Madagascar,Androy,0.3972
MDG,Madagascar,Anosy,0.5032
MDG,Madagascar,Antananarivo,0.0976
MDG,Madagascar,Antsiranana,0.2236
MDG,Madagascar,Atsimo Andrefana,0.4771
MDG,Madagascar,Atsimo Atsinanana,0.3948
