iso_code,country,region,comp_prim_avg
EGY,Egypt,Lower Egypt Rural,0.8647
EGY,Egypt,Lower Egypt Urban,0.9186
EGY,Egypt,Luxor,0.9673
EGY,Egypt,Matrouh,0.8701
EGY,Egypt,Menia,0.8993
EGY,Egypt,Monofia,0.9189
EGY,Egypt,North sinai,1.0
EGY,Egypt,Port Said,0.983
EGY,Egypt,Port said,0.9891
EGY,Egypt,Qena,0.9431
EGY,Egypt,Qualioubia,0.9213
EGY,Egypt,Sharkia,0.9652
EGY,Egypt,Sohag,0.8875
EGY,Egypt,Suez,0.9679
EGY,Egypt,Upper Egypt Rural,0.7705
EGY,Egypt,Upper Egypt Urban,0.8956
EGY,Egypt,Urban Governorates,0.9019
ETH,Ethiopia,Addis Ababa,0.6928
ETH,Ethiopia,Afar,0.1789
ETH,Ethiopia,Amhara,0.2567
ETH,Ethiopia,Benishangul Gumuz,0.2462
ETH,Ethiopia,Dire Dawa,0.5769
ETH,Ethiopia,Gambela,0.4128
ETH,Ethiopia,Harari,0.5165
ETH,Ethiopia,Oromia,0.2628
ETH,Ethiopia,SNNPR,0.2637
ETH,Ethiopia,Somali,0.1414
ETH,Ethiopia,Tigray,0.3637
GAB,Gabon,Big Cities,0.6047
GAB,Gabon,Estuaire,0.7502
GAB,Gabon,Haut Ogooue,0.6072
GAB,Gabon,Libreville Port Gentil,0.8402
GAB,Gabon,Moyen Ogooue,0.594
GAB,Gabon,Ngounie,0.48
GAB,Gabon,Nyanga,0.5304
GAB,Gabon,Ogooue Ivindo,0.3499
GAB,Gabon,Ogooue Lolo,0.4552
GAB,Gabon,Ogooue Maritime,0.5549
GAB,Gabon,Woleu Ntem,0.6087
GHA,Ghana,Ashanti,0.7645
GHA,Ghana,Brong Ahafo,0.5715
GHA,Ghana,Central,0.6627
GHA,Ghana,Eastern,0.6717
GHA,Ghana,Greater Accra,0.7334
GHA,Ghana,Northern,0.3863
GHA,Ghana,Upper East,0.3984
GHA,Ghana,Upper West,0.4429
GHA,Ghana,Volta,0.5631
GHA,Ghana,Western,0.6908
GIN,Guinea,Boke,0.4375
GIN,Guinea,Conakry,0.7269
GIN,Guinea,Faranah,0.308
GIN,Guinea,Kankan,0.2195
GIN,Guinea,Kindia,0.4018
GIN,Guinea,Labe,0.352
GIN,Guinea,Mamou,0.3986
GIN,Guinea,N'Zerekore,0.4087
GMB,Gambia,Banjul,0.8266
GMB,Gambia,Basse,0.2992
GMB,Gambia,Brikama,0.7333
GMB,Gambia,Janjanbureh,0.476
GMB,Gambia,Kanifing,0.7884
GMB,Gambia,Kerewan,0.5439
GMB,Gambia,Kuntaur,0.363
GMB,Gambia,Mansakonko,0.6473
GNB,Guinea-Bissau,Bafata,0.1033
GNB,Guinea-Bissau,Biombo,0.2555
GNB,Guinea-Bissau,Bolama/Bijagos,0.3107
GNB,Guinea-Bissau,Cacheu,0.2606
GNB,Guinea-Bissau,Gabu,0.0879
GNB,Guinea-Bissau,Oio,0.1417
GNB,Guinea-Bissau,Quinara,0.1239
GNB,Guinea-Bissau,Sab,0.5306
