iso_code,country,year,region,comp_prim_v2_m,eduout_prim_m
AGO,Angola,2015,Bengo,0.537699997425079,0.320100009441376
AGO,Angola,2015,Benguela,0.616800010204315,0.206900000572205
AGO,Angola,2015,Bie,0.410400003194809,0.324699997901917
AGO,Angola,2015,Cabinda,0.690500020980835,0.171200007200241
AGO,Angola,2015,Cuando Cubango,0.263300001621246,0.473300009965897
AGO,Angola,2015,Cuanza Norte,0.558399975299835,0.287900000810623
AGO,Angola,2015,Cuanza Sul,0.337599992752075,0.427599996328354
AGO,Angola,2015,Cunene,0.366699993610382,0.359100013971329
AGO,Angola,2015,Huambo,0.488599985837936,0.248600006103516
AGO,Angola,2015,Huila,0.407099992036819,0.23870000243187
AGO,Angola,2015,Luanda,0.809099972248077,0.130300000309944
AGO,Angola,2015,Lunda Norte,0.338800013065338,0.42960000038147
AGO,Angola,2015,Lunda Sul,0.454800009727478,0.240500003099442
AGO,Angola,2015,Malanje,0.534600019454956,0.251800000667572
AGO,Angola,2015,Moxico,0.474400013685226,0.392199993133545
AGO,Angola,2015,Namibe,0.647899985313416,0.19030000269413
AGO,Angola,2015,Uige,0.447499990463257,0.31580001115799
AGO,Angola,2015,Zaire,0.688899993896484,0.283899992704391
BDI,Burundi,2010,Bujumbura,0.592299997806549,0.065700002014637
BDI,Burundi,2010,Centre East,0.332199990749359,0.156100004911423
BDI,Burundi,2010,Nord,0.300300002098083,0.191100001335144
BDI,Burundi,2010,Ouest,0.41100001335144,0.171700000762939
BDI,Burundi,2010,Sud,0.495000004768372,0.115000002086163
BDI,Burundi,2000,Centre,,
BDI,Burundi,2000,Est,,
BDI,Burundi,2000,Nord,,
BDI,Burundi,2000,Ouest,,
BDI,Burundi,2000,Sud,,
BDI,Burundi,2005,Centre,,
BDI,Burundi,2005,Est,,
BDI,Burundi,2005,Nord,,
BDI,Burundi,2005,Ouest,,
BDI,Burundi,2005,Sud,,
BEN,Benin,2001,Atacora,0.221100002527237,0.569199979305267
BEN,Benin,2001,Atlantique,0.483399987220764,0.247899994254112
BEN,Benin,2001,Borgou,0.287900000810623,0.488900005817413
BEN,Benin,2001,Mono,0.25110000371933,0.382099986076355
BEN,Benin,2001,Oueme,0.319599986076355,0.332800000905991
BEN,Benin,2001,Zou,0.291799992322922,0.441199988126755
BEN,Benin,2006,Alibori,0.157800003886223,0.676400005817413
BEN,Benin,2006,Atacora,0.333299994468689,0.453000009059906
BEN,Benin,2006,Atlantique,0.539900004863739,0.259400010108948
BEN,Benin,2006,Borgou,0.427899986505508,0.412299990653992
BEN,Benin,2006,Collines,0.528900027275085,0.236200004816055
BEN,Benin,2006,Couffo,0.528500020503998,0.26350000500679
BEN,Benin,2006,Donga,0.439399987459183,0.358300000429153
BEN,Benin,2006,Littoral,0.705999970436096,0.143999993801117
BEN,Benin,2006,Mono,0.561699986457825,0.225999996066093
BEN,Benin,2006,Oueme,0.591099977493286,0.219600006937981
BEN,Benin,2006,Plateau,0.421499997377396,0.396499991416931
BEN,Benin,2006,Zou,0.476999998092651,0.284299999475479
BEN,Benin,2014,Alibori,0.232700005173683,0.61080002784729
BEN,Benin,2014,Atacora,0.413500010967255,0.328900009393692
BEN,Benin,2014,Atlantique,0.61379998922348,0.119699999690056
BEN,Benin,2014,Borgou,0.440400004386902,0.44990000128746
BEN,Benin,2014,Collines,0.630699992179871,0.18809999525547
BEN,Benin,2014,Couffo,0.483399987220764,0.277799993753433
BEN,Benin,2014,Donga,0.486900001764297,0.259299993515015
BEN,Benin,2014,Littoral,0.752600014209747,0.0744000002741814
BEN,Benin,2014,Mono,0.651000022888184,0.101499997079372
BEN,Benin,2014,Oueme,0.678300023078918,0.128099992871284
BEN,Benin,2014,Plateau,0.53549998998642,0.221499994397163
BEN,Benin,2014,Zou,0.575600028038025,0.172700002789497
BFA,Burkina Faso,2003,Boucle De Mouhoun,0.21340000629425,0.692300021648407
BFA,Burkina Faso,2003,Cascades,0.304800003767014,0.64630001783371
BFA,Burkina Faso,2003,Centre (Sans Ouagadougou),0.217899993062019,0.519299983978271
BFA,Burkina Faso,2003,Centre Est,0.309300005435944,0.674700021743774
