Unnamed: 0;iso_code;country;year;region;compl_primary;out_primary
11019;CAF;Central African Republic;2000;Vakaga;;
11216;CAF;Central African Republic;2006;Baminigui Bangoran;;
11217;CAF;Central African Republic;2006;Bangui;;
11218;CAF;Central African Republic;2006;Basse Kotto;;
11219;CAF;Central African Republic;2006;Haut Mbomou;;
11220;CAF;Central African Republic;2006;Haute Kotto;;
11221;CAF;Central African Republic;2006;Lobaye;;
11222;CAF;Central African Republic;2006;Mambere Kadei;;
11223;CAF;Central African Republic;2006;Mbomou;;
11224;CAF;Central African Republic;2006;Nana Mambere;;
11225;CAF;Central African Republic;2006;Ombella M'Poko;;
11226;CAF;Central African Republic;2006;Ouaka;;
11227;CAF;Central African Republic;2006;Ouham;;
11228;CAF;Central African Republic;2006;Ouham Pende;;
11229;CAF;Central African Republic;2006;Sangha Mbaere;;
11459;CAF;Central African Republic;2010;Baminigui Bangoran;0.511799991130829;0.186100006103516
11460;CAF;Central African Republic;2010;Bangui;0.743900001049042;0.0706999972462654
11461;CAF;Central African Republic;2010;Basse Kotto;0.217199996113777;0.360599994659424
11462;CAF;Central African Republic;2010;Haut Mbomou;0.380299985408783;0.283899992704391
11463;CAF;Central African Republic;2010;Haute Kotto;0.29449999332428;0.232099995017052
11464;CAF;Central African Republic;2010;Kemo;0.375200003385544;0.271600008010864
11465;CAF;Central African Republic;2010;Lobaye;0.392500013113022;0.266299992799759
11466;CAF;Central African Republic;2010;Mambere Kadei;0.314599990844727;0.409900009632111
11467;CAF;Central African Republic;2010;Mbomou;0.289400011301041;0.264299988746643
11468;CAF;Central African Republic;2010;Nana Grebizi;0.451299995183945;0.211199998855591
11469;CAF;Central African Republic;2010;Nana Mambere;0.280699998140335;0.386799991130829
11470;CAF;Central African Republic;2010;Ombella M'Poko;0.393799990415573;0.237700000405312
11471;CAF;Central African Republic;2010;Ouaka;0.288599997758865;0.326299995183945
11472;CAF;Central African Republic;2010;Ouham;0.241799995303154;0.381300002336502
11473;CAF;Central African Republic;2010;Ouham Pende;0.304100006818771;0.219400003552437
11474;CAF;Central African Republic;2010;Sangha Mbaere;0.417699992656708;0.349000006914139
11475;CAF;Central African Republic;2010;Vakaga;;0.165800005197525
13622;CIV;Côte d'Ivoire;2012;Centre;0.443300008773804;0.353799998760223
13623;CIV;Côte d'Ivoire;2012;Centre Est;0.435600012540817;0.331099987030029
13624;CIV;Côte d'Ivoire;2012;Centre Nord;0.45890000462532;0.296299993991852
13625;CIV;Côte d'Ivoire;2012;Centre Ouest;0.391499996185303;0.342099994421005
13626;CIV;Côte d'Ivoire;2012;Nord;0.294900000095367;0.503099977970123
13627;CIV;Côte d'Ivoire;2012;Nord Est;0.384200006723404;0.372000008821487
13628;CIV;Côte d'Ivoire;2012;Nord Ouest;0.193900004029274;0.448100000619888
13629;CIV;Côte d'Ivoire;2012;Ouest;0.32370001077652;0.306100010871887
13630;CIV;Côte d'Ivoire;2012;Sud (Sans Ville D'Abidjan);0.540199995040894;0.213799998164177
13631;CIV;Côte d'Ivoire;2012;Sud Ouest;0.373100012540817;0.395599991083145
13632;CIV;Côte d'Ivoire;2012;Ville D'Abidjan;0.588100016117096;0.176599994301796
13917;CIV;Côte d'Ivoire;2000;Centre;;
13918;CIV;Côte d'Ivoire;2000;Centre Est;;
13919;CIV;Côte d'Ivoire;2000;Centre Nord;;
13920;CIV;Côte d'Ivoire;2000;Centre Ouest;;
13921;CIV;Côte d'Ivoire;2000;Nord;;
13922;CIV;Côte d'Ivoire;2000;Nord Est;;
13923;CIV;Côte d'Ivoire;2000;Nord Ouest;;
13924;CIV;Côte d'Ivoire;2000;Ouest;;
13925;CIV;Côte d'Ivoire;2000;Sud (Sans Ville D'Abidjan);;
13926;CIV;Côte d'Ivoire;2000;Sud Ouest;;
13927;CIV;Côte d'Ivoire;2000;Ville D'Abidjan;;
14126;CIV;Côte d'Ivoire;2006;Centre;;
14127;CIV;Côte d'Ivoire;2006;Centre Est;;
14128;CIV;Côte d'Ivoire;2006;Centre Nord;;
14129;CIV;Côte d'Ivoire;2006;Centre Ouest;;
14130;CIV;Côte d'Ivoire;2006;Nord;;
14131;CIV;Côte d'Ivoire;2006;Nord Est;;
14132;CIV;Côte d'Ivoire;2006;Nord Ouest;;
14133;CIV;Côte d'Ivoire;2006;Ouest;;
14134;CIV;Côte d'Ivoire;2006;Sud (Sans Ville D'Abidjan);;
14135;CIV;Côte d'Ivoire;2006;Sud Ouest;;
14136;CIV;Côte d'Ivoire;2006;Ville D'Abidjan;;
14433;CIV;Côte d'Ivoire;2016;Centre;0.647599995136261;0.177799999713898
14434;CIV;Côte d'Ivoire;2016;Centre Est;0.484200000762939;0.219200000166893
14435;CIV;Côte d'Ivoire;2016;Centre Nord;0.605799973011017;0.225400000810623
14436;CIV;Côte d'Ivoire;2016;Centre Ouest;0.521200001239777;0.263099998235703
