"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.0299987792969","","","","","","","","","","99.1399993896484","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.9700012207031","69.2799987792969","69.8499984741211","70.4499969482422","70.620002746582","70.2399978637695","70.379997253418","70.3600006103516","70.8399963378906","71.0100021362305","71.379997253418","70.6100006103516","71.5100021362305","71.6399993896484","71.7399978637695","73.5699996948242","73.7399978637695","73.7799987792969","72.9499969482422","71.0500030517578","72.1800003051758","72.5999984741211","73.2200012207031","74.4499969482422","77.0400009155273","78.9000015258789","79.8199996948242","79.870002746582","80.2399978637695","80.8600006103516","81.0999984741211","81.8300018310547","82.3600006103516","82.5100021362305","82.6699981689453","82.870002746582","83.0699996948242","83.3899993896484","",
"Afghanistan","AFG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","30.0699996948242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9900016784668","","","","35.8199996948242","","","","","53.9721805049471","55.9300003051758","62.66","","","",
"Africa Western and Central","AFW","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","54.9900016784668","55.2999992370605","56.0400009155273","56.4700012207031","57.2099990844727","57.9099998474121","58.5699996948242","59.2599983215332","60","60.8800010681152","60.4599990844727","61.2599983215332","62.1399993896484","63.4900016784668","64.0699996948242","59.75","61.0200004577637","61.5","61.7799987792969","63.1300010681152","63.2200012207031","63.8400001525879","62.4500007629395","62.5","62.4799995422363","62.9000015258789","64.0299987792969","64.6999969482422","65.7200012207031","66.5999984741211","67.5999984741211","68.0899963378906","69.1600036621094","71.4499969482422","71.2200012207031","71.3300018310547","71.6699981689453","72.0100021362305","72.3099975585938","72.5","",
"Angola","AGO","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1900024414062","","","","","","","","","","","","","77.4300003051758","75.6600036621094","","","","","","","","80.6999969482422","","",
"Albania","ALB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.4400024414062","","","","","","","98.8300018310547","95.68","","98.7900009155273","99.2300033569336","","","","","99.0199966430664","","","","","","99.0599975585938","","",
"Andorra","AND","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","66.1600036621094","66.6600036621094","67.3199996948242","67.7399978637695","68.620002746582","69.5100021362305","70.379997253418","71.1999969482422","72.1500015258789","73.120002746582","74.1699981689453","75.379997253418","76.379997253418","76.0800018310547","76.8300018310547","77.6399993896484","78.5100021362305","79.3399963378906","80.1399993896484","80.8499984741211","81.5199966430664","82.3199996948242","83.0299987792969","84.0800018310547","84.7399978637695","85.120002746582","83.8000030517578","84.7099990844727","85.4400024414062","85.4700012207031","85.9599990844727","86.4800033569336","87.620002746582","88.6100006103516","88.7300033569336","89.0299987792969","87.7300033569336","88.3000030517578","88.5899963378906","88.879997253418","89.1900024414062","89.4800033569336","89.7399978637695","89.9800033569336","90.25","",
"United Arab Emirates","ARE","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","63.0499992370605","","","","","","","","","","82.4700012207031","","","","","","","","","","","","","","","","","","","","95.0100021362305","","","","","","","","","","","","","","98.370002746582","","99.6600036621094","99.6600036621094","99.5400009155273","99.6100006103516","",
"Argentina","ARG","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","96.879997253418","","","","","","","","","","","98.3000030517578","","","","","","","","","","98.9199981689453","","","","","","","","","","","","","","","","","","","99.6800003051758","","","","","",
"Armenia","ARM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.9100036621094","","","","","","","","","","","100","99.8099975585938","","","","","","","","","","99.8499984741211","","","","","99.8499984741211","99.8499984741211","100","100","99.870002746582","","99.7699966430664","99.8899993896484","","",
"American Samoa","ASM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","97.6500015258789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
